halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
4361300044127,30342339624960.00,599753293824.0,30942093639680.0
7323000068127,24612203134976.00,347171225600.0,24959374065664.0
3085200146131,10832898424832.00,243368280064.0,11076266622976.0
1355600078131,19561254486016.00,216585551872.0,19777839955968.0
1121100098137,10832898424832.00,215327064064.0,11048225603584.0
2469100042131,11291022327808.00,366518927360.0,11657541582848.0
7873800043137,26373921964032.00,408281645056.0,26782203904000.0
2306100029137,12667919007744.00,31788062720.0,12699706589184.0
6366600032137,12628885766144.00,242797215744.0,12871682490368.0
3773300185127,14741904818176.00,301365002240.0,15043269754880.0
4409100092137,16547859922944.00,271488139264.0,16819347783680.0
1850900078127,30735278800896.00,380561129472.0,31115840585728.0
6073700079137,16141910016000.00,261742559232.0,16403652411392.0
5164500159137,34565775163392.00,598523838464.0,35164298149888.0
447400100137,14200639324160.00,329380855808.0,14530020114432.0
1881800177121,10182153207808.00,46450167808.0,10228603027456.0
2516500140124,11577350684672.00,410945454080.0,11988296007680.0
5605700037131,18379836489728.00,327386202112.0,18707222888448.0
4550300175137,12915132334080.00,5419135488.0,12920551374848.0
2808800130134,20349733306368.00,447138136064.0,20796871278592.0
3509800113134,25806633959424.00,672872071168.0,26479505178624.0
4779200164124,16300646596608.00,363683708928.0,16664330502144.0
4460800069134,19532630458368.00,367736782848.0,19900368158720.0
351900193134,13812905279488.00,278308945920.0,14091214127104.0
7601200142127,17377974550528.00,193313964032.0,17571288973312.0
99500137124,11231153881088.00,196730372096.0,11427884564480.0
184100080121,17893217533952.00,477834706944.0,18371051520000.0
2421900031124,12550818234368.00,410482311168.0,12961300086784.0
2293200110134,12928143065088.00,363975966720.0,13292119523328.0
50200023131,12222889721856.00,197947211776.0,12420836753408.0
2379900171127,11512276058112.00,166308282368.0,11678584406016.0
2007000123134,9763074080768.00,408346853376.0,10171421032448.0
4014900108121,10010356613120.00,86362038272.0,10096718381056.0
1300900064127,10739191382016.00,291013132288.0,11030204776448.0
3692500191124,11538305908736.00,270553710592.0,11808859488256.0
545400146124,23860156039168.00,565020655616.0,24425177022464.0
2302500047127,39999252725760.00,960243957760.0,40959496683520.0
6575400124137,16360498266112.00,478517526528.0,16839015923712.0
1879600166137,9976518017024.00,62187958272.0,10038705913856.0
4102400065131,9859384737792.00,174709620736.0,10034094276608.0
2944800108137,23337105358848.00,584514797568.0,23921619369984.0
3458400065137,11343082029056.00,107519811584.0,11450601963520.0
324500137131,10806868574208.00,247719591936.0,11054588362752.0
1819600098127,10710558965760.00,178439110656.0,10888998289408.0
1899900020137,12407694950400.00,162447048704.0,12570142441472.0
5864700144121,11124431912960.00,273661313024.0,11398093471744.0
3231700024134,12280154554368.00,228905910272.0,12509060792320.0
5849300047134,11632012951552.00,205301317632.0,11837314695168.0
5676000024137,10536158756864.00,225307049984.0,10761466281984.0
3204100056127,10804266008576.00,142488076288.0,10946753855488.0
164300137137,10242022703104.00,92197134336.0,10334219796480.0
3202400028131,17281692205056.00,301108363264.0,17582800240640.0
3824400086127,16386520776704.00,370894274560.0,16757414690816.0
7225600177127,18496937263104.00,328630403072.0,18825567272960.0
7527800043137,17523700400128.00,427976654848.0,17951677743104.0
1364200098131,12566431531008.00,235837030400.0,12802268856320.0
3868600145124,15686518702080.00,266548985856.0,15953067769856.0
6022200193137,9947885600768.00,87431913472.0,10035317964800.0
5301700171124,20094713331712.00,157976002560.0,20252689694720.0
