halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
277000024355,166440032272384.00,1109619507200.0,167549643784192.0
339600098338,11210330210304.00,232686665728.0,11443016564736.0
179700144373,15439305375744.00,163655680000.0,15602960826368.0
60800153373,17760503463936.00,202040967168.0,17962545184768.0
12300030475,269655109271552.00,1305667174400.0,270960779329536.0
208400109401,71310659026944.00,1363251298304.0,72673908490240.0
386100109338,16857526435840.00,216413110272.0,17073939939328.0
172400141338,31851638947840.00,331155243008.0,32182793928704.0
144800081382,10411215683584.00,143858941952.0,10555075067904.0
433000098373,20943044870144.00,233805561856.0,21176850055168.0
398000187338,16305851727872.00,279086891008.0,16584938618880.0
11200127442,32954988363776.00,457191981056.0,33412180082688.0
245900114401,22868702265344.00,320439156736.0,23189140799488.0
35500070373,70216478359552.00,578958786560.0,70795439112192.0
29400131382,12108357959680.00,220878028800.0,12329236299776.0
376000098347,13128515452928.00,160560807936.0,13289076555776.0
813700030347,28250136903680.00,605573349376.0,28855710515200.0
124200165331,12217683542016.00,191560335360.0,12409243697152.0
510100178365,165200162455552.00,2182148521984.0,167382307831808.0
755800179338,98451572391936.00,977405870080.0,99428979441664.0
425500163355,13916994273280.00,185589088256.0,14102583836672.0
502600109373,55885300760576.00,690602442752.0,56575901302784.0
640600065331,92553416278016.00,1561346703360.0,94114762719232.0
46300153421,32265394454528.00,777650831360.0,33043045679104.0
467500159338,15395067002880.00,312900419584.0,15707967324160.0
39600024347,22022975389696.00,346794229760.0,22369768833024.0
508400033355,13412159455232.00,118436659200.0,13530596114432.0
258600023355,18736343941120.00,316493561856.0,19052837732352.0
79800166338,36051657687040.00,437668741120.0,36489324920832.0
585700025355,351530054057984.00,1697866448896.0,353227908317184.0
239900025401,10260242759680.00,169405251584.0,10429647552512.0
169200126401,12516989075456.00,70030827520.0,12587020320768.0
687600054338,28476532850688.00,416540196864.0,28893073375232.0
975600083331,57120162578432.00,629948743680.0,57750109290496.0
1026000138338,22306619392000.00,400455630848.0,22707074760704.0
361200080373,45349460770816.00,857063555072.0,46206524850176.0
983800182331,210685090856960.00,2503347535872.0,213188436033536.0
5900177331,10411215683584.00,107139186688.0,10518354984960.0
86200190401,17541916262400.00,351055380480.0,17892972167168.0
93800129411,10606439563264.00,89715253248.0,10696154677248.0
437600151331,10322714820608.00,178605031424.0,10501319819264.0
417400023347,12043283333120.00,331756404736.0,12375040196608.0
381100116347,18843036549120.00,153057837056.0,18996095090688.0
457300115347,13758257692672.00,299074158592.0,14057331490816.0
164000065411,14393205063680.00,197707333632.0,14590911971328.0
287500109355,32273202151424.00,501860204544.0,32775063207936.0
368300057365,21669070503936.00,206327644160.0,21875398803456.0
324800178338,19631515369472.00,341233008640.0,19972749262848.0
74300100347,11946973724672.00,252525412352.0,12199499137024.0
441300095373,14944879771648.00,169896181760.0,15114776346624.0
902800187338,57148822257664.00,591307145216.0,57740131041280.0
167700081331,11074975825920.00,159953797120.0,11234929803264.0
564000044331,29387317575680.00,251863711744.0,29639181336576.0
7400029355,35989200306176.00,536281153536.0,36525479821312.0
423700071355,22277993267200.00,423623294976.0,22701615874048.0
607100022338,15790607695872.00,262021120000.0,16052629012480.0
92200137382,132147629260800.00,1189040226304.0,133336672501760.0
189100137365,15730756026368.00,251519991808.0,15982275854336.0
825000137355,11835045576704.00,412216852480.0,12247262822400.0
